data,valorMedioBolsaFamilia,valorCestaBasica,inflacaoMensal,variacaoPercentualBolsa,variacaoPercentualCesta,salarioMinimo,coberturaBolsaCesta,categoria,regiao,populacaoImpactada
2023-01-01,"676,80","81,23",0.62,0.00,0.00,1302.00,83.33,Estável,Sudeste,45000000
2023-02-01,"682,45","81,67",0.84,0.84,0.54,1302.00,83.57,Aumento,Sudeste,45000000
2023-03-01,"671,30","80,71",0.71,-1.63,-1.18,1302.00,83.16,Redução,Sudeste,45000000
2023-04-01,"679,50","82,05",0.61,1.22,1.66,1302.00,82.81,Aumento,Sudeste,45000000
2023-05-01,"674,20","82,58",0.47,-0.78,0.65,1302.00,81.64,Redução,Sudeste,45000000
2023-06-01,"680,15","81,95",0.23,0.88,-0.76,1320.00,83.00,Aumento,Sudeste,45000000
2023-07-01,"672,90","80,42",0.12,-1.07,-1.87,1320.00,83.66,Redução,Sudeste,45000000
2023-08-01,"678,35","80,98",0.18,0.81,0.70,1320.00,83.77,Aumento,Sudeste,45000000
2023-09-01,"675,60","82,34",0.26,-0.41,1.68,1320.00,82.05,Redução,Sudeste,45000000
2023-10-01,"681,20","83,16",0.33,0.83,1.00,1320.00,81.92,Aumento,Sudeste,45000000
2023-11-01,"673,85","84,21",0.28,-1.08,1.26,1320.00,80.02,Redução,Sudeste,45000000
2023-12-01,"677,40","84,85",0.56,0.53,0.76,1320.00,79.84,Aumento,Sudeste,45000000
2024-01-01,"676,10","86,12",0.42,-0.19,1.50,1412.00,78.50,Redução,Sudeste,46000000
2024-02-01,"683,50","87,45",0.83,1.09,1.54,1412.00,78.15,Aumento,Sudeste,46000000
2024-03-01,"670,25","87,02",0.16,-1.94,-0.49,1412.00,77.04,Redução,Sudeste,46000000
2024-04-01,"679,80","86,58",0.38,1.43,-0.51,1412.00,78.52,Aumento,Sudeste,46000000
2024-05-01,"675,30","87,23",0.46,-0.66,0.75,1412.00,77.42,Redução,Sudeste,46000000
2024-06-01,"681,90","88,67",0.21,0.98,1.65,1412.00,76.91,Aumento,Sudeste,46000000
2024-07-01,"672,15","88,15",0.38,-1.43,-0.59,1412.00,76.24,Redução,Sudeste,46000000
2024-08-01,"678,70","88,92",0.25,0.97,0.87,1412.00,76.33,Aumento,Sudeste,46000000
2024-09-01,"676,45","87,68",0.44,-0.33,-1.39,1412.00,77.15,Redução,Sudeste,46000000
2024-10-01,"680,85","88,34",0.56,0.65,0.75,1412.00,77.08,Aumento,Sudeste,46000000
2024-11-01,"674,60","89,12",0.39,-0.92,0.88,1412.00,75.69,Redução,Sudeste,46000000
2024-12-01,"677,95","90,45",0.52,0.50,1.49,1412.00,74.96,Aumento,Sudeste,46000000
2025-01-01,"675,80","91,78",0.48,-0.32,1.47,1518.00,73.64,Redução,Sudeste,47000000
2025-02-01,"682,10","93,12",0.77,0.93,1.46,1518.00,73.24,Aumento,Sudeste,47000000
2025-03-01,"671,70","92,45",0.64,-1.52,-0.72,1518.00,72.66,Redução,Sudeste,47000000
2025-04-01,"679,25","91,89",0.71,1.12,-0.61,1518.00,73.92,Aumento,Sudeste,47000000
2025-05-01,"676,90","92,56",0.58,-0.35,0.73,1518.00,73.14,Redução,Sudeste,47000000
2025-06-01,"680,40","93,21",0.43,0.52,0.70,1518.00,73.00,Aumento,Sudeste,47000000
2025-07-01,"673,50","91,83",0.33,-1.01,-1.48,1518.00,73.33,Redução,Sudeste,47000000
2025-08-01,"678,15","91,12",0.18,0.69,-0.77,1518.00,74.42,Aumento,Sudeste,47000000
2025-09-01,"675,95","90,45",0.31,-0.32,-0.74,1518.00,74.73,Redução,Sudeste,47000000
