Macrorregiao,Subprefeitura,Distrito,Programa,Categoria,Quantidade_Beneficiados,Mes,Mes_Numero,Ano
CENTRO,SE,BELA VISTA,BOLSA_FAMILIA,FAMILIA,2495,JANEIRO,1,2024
CENTRO,SE,BELA VISTA,BPC,BPC,925,SETEMBRO,9,2024
CENTRO,SE,BELA VISTA,BPC,PCD,621,SETEMBRO,9,2024
CENTRO,SE,BELA VISTA,BPC,PCD,304,SETEMBRO,9,2024
CENTRO,SE,BELA VISTA,CADUNICO,FAMILIA,5892,JULHO,7,2024
CENTRO,SE,BOM RETIRO,BOLSA_FAMILIA,FAMILIA,4935,JANEIRO,1,2024
CENTRO,SE,BOM RETIRO,BPC,BPC,1501,SETEMBRO,9,2024
CENTRO,SE,BOM RETIRO,BPC,PCD,1176,SETEMBRO,9,2024
CENTRO,SE,BOM RETIRO,BPC,PCD,325,SETEMBRO,9,2024
CENTRO,SE,BOM RETIRO,CADUNICO,FAMILIA,9714,JULHO,7,2024
CENTRO,SE,CAMBUCI,BOLSA_FAMILIA,FAMILIA,2000,JANEIRO,1,2024
CENTRO,SE,CAMBUCI,BPC,BPC,801,SETEMBRO,9,2024
CENTRO,SE,CAMBUCI,BPC,PCD,557,SETEMBRO,9,2024
CENTRO,SE,CAMBUCI,BPC,PCD,244,SETEMBRO,9,2024
CENTRO,SE,CAMBUCI,CADUNICO,FAMILIA,4440,JULHO,7,2024
CENTRO,SE,CONSOLACAO,BOLSA_FAMILIA,FAMILIA,465,JANEIRO,1,2024
CENTRO,SE,CONSOLACAO,BPC,BPC,335,SETEMBRO,9,2024
CENTRO,SE,CONSOLACAO,BPC,PCD,254,SETEMBRO,9,2024
CENTRO,SE,CONSOLACAO,BPC,PCD,81,SETEMBRO,9,2024
CENTRO,SE,CONSOLACAO,CADUNICO,FAMILIA,1209,JULHO,7,2024
CENTRO,SE,LIBERDADE,BOLSA_FAMILIA,FAMILIA,1921,JANEIRO,1,2024
CENTRO,SE,LIBERDADE,BPC,BPC,1086,SETEMBRO,9,2024
CENTRO,SE,LIBERDADE,BPC,PCD,787,SETEMBRO,9,2024
CENTRO,SE,LIBERDADE,BPC,PCD,299,SETEMBRO,9,2024
CENTRO,SE,LIBERDADE,CADUNICO,FAMILIA,5281,JULHO,7,2024
CENTRO,SE,REPUBLICA,BOLSA_FAMILIA,FAMILIA,6005,JANEIRO,1,2024
CENTRO,SE,REPUBLICA,BPC,BPC,1814,SETEMBRO,9,2024
CENTRO,SE,REPUBLICA,BPC,PCD,1297,SETEMBRO,9,2024
CENTRO,SE,REPUBLICA,BPC,PCD,517,SETEMBRO,9,2024
CENTRO,SE,REPUBLICA,CADUNICO,FAMILIA,13108,JULHO,7,2024
CENTRO,SE,SANTA CECILIA,BOLSA_FAMILIA,FAMILIA,4860,JANEIRO,1,2024
CENTRO,SE,SANTA CECILIA,BPC,BPC,1566,SETEMBRO,9,2024
CENTRO,SE,SANTA CECILIA,BPC,PCD,997,SETEMBRO,9,2024
CENTRO,SE,SANTA CECILIA,BPC,PCD,569,SETEMBRO,9,2024
CENTRO,SE,SANTA CECILIA,CADUNICO,FAMILIA,10143,JULHO,7,2024
CENTRO,SE,SE,BOLSA_FAMILIA,FAMILIA,5662,JANEIRO,1,2024
CENTRO,SE,SE,BPC,BPC,767,SETEMBRO,9,2024
CENTRO,SE,SE,BPC,PCD,433,SETEMBRO,9,2024
CENTRO,SE,SE,BPC,PCD,334,SETEMBRO,9,2024
CENTRO,SE,SE,CADUNICO,FAMILIA,10978,JULHO,7,2024
