Nome,Região,Período,Resultado,Distrito
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2023,3040,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2019,3018,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2022,2554,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2016,1090,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2014,675,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2021,1967,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2020,2262,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2013,725,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2017,1954,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2015,1076,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2025,2145,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2024,2551,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BELA VISTA DISTRITO,2018,4162,BELA VISTA
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2014,738,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2023,5292,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2017,1704,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2025,4664,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2016,1523,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2022,3725,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2021,2992,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2020,2781,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2018,3026,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2024,4999,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2019,2444,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2013,699,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,BOM RETIRO DISTRITO,2015,1247,BOM RETIRO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2023,2245,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2024,1892,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2019,839,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2014,454,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2015,547,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2021,1098,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2018,769,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2016,655,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2022,1418,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2025,1425,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2013,316,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2017,792,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CAMBUCI DISTRITO,2020,1053,CAMBUCI
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2014,81,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2021,244,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2018,164,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2019,187,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2023,461,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2020,235,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2013,66,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2015,75,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2024,441,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2022,565,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2016,110,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2025,256,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,CONSOLACAO DISTRITO,2017,212,CONSOLACAO
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,LIBERDADE DISTRITO,2020,1094,LIBERDADE
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,LIBERDADE DISTRITO,2021,1145,LIBERDADE
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,LIBERDADE DISTRITO,2017,832,LIBERDADE
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,LIBERDADE DISTRITO,2018,1059,LIBERDADE
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA ATE 14 SALARIO MINIMO,LIBERDADE DISTRITO,2016,691,LIBERDADE
