Alimento,Preco_Medio,Mes,Mes_Numero,Ano
Arroz,4.3,JANEIRO,1,2023
Arroz,4.22,FEVEREIRO,2,2023
Arroz,4.31,MARÇO,3,2023
Arroz,4.4,ABRIL,4,2023
Arroz,4.53,MAIO,5,2023
Arroz,4.49,JUNHO,6,2023
Arroz,4.4,JULHO,7,2023
Arroz,4.36,AGOSTO,8,2023
Arroz,4.62,SETEMBRO,9,2023
Arroz,4.67,OUTUBRO,10,2023
Arroz,4.93,NOVEMBRO,11,2023
Arroz,5.1,DEZEMBRO,12,2023
Arroz,5.58,JANEIRO,1,2024
Arroz,5.78,FEVEREIRO,2,2024
Arroz,5.84,MARÇO,3,2024
Arroz,5.75,ABRIL,4,2024
Arroz,5.88,MAIO,5,2024
Arroz,6.05,JUNHO,6,2024
Arroz,6.11,JULHO,7,2024
Arroz,6.15,AGOSTO,8,2024
Arroz,6.02,SETEMBRO,9,2024
Arroz,6.03,OUTUBRO,10,2024
Arroz,5.99,NOVEMBRO,11,2024
Arroz,5.9,DEZEMBRO,12,2024
Arroz,5.88,JANEIRO,1,2025
Arroz,5.81,FEVEREIRO,2,2025
Arroz,6.08,MARÇO,3,2025
Arroz,5.86,ABRIL,4,2025
Arroz,5.67,MAIO,5,2025
Arroz,5.48,JUNHO,6,2025
Arroz,5.21,JULHO,7,2025
Arroz,5.08,AGOSTO,8,2025
Arroz,4.95,SETEMBRO,9,2025
Açúcar,4.07,JANEIRO,1,2023
Açúcar,4.12,FEVEREIRO,2,2023
Açúcar,4.09,MARÇO,3,2023
Açúcar,4.03,ABRIL,4,2023
Açúcar,4.14,MAIO,5,2023
Açúcar,4.23,JUNHO,6,2023
Açúcar,4.21,JULHO,7,2023
Açúcar,4.25,AGOSTO,8,2023
Açúcar,4.25,SETEMBRO,9,2023
Açúcar,4.34,OUTUBRO,10,2023
Açúcar,4.4,NOVEMBRO,11,2023
Açúcar,4.49,DEZEMBRO,12,2023
Açúcar,4.53,JANEIRO,1,2024
Açúcar,4.56,FEVEREIRO,2,2024
Açúcar,4.59,MARÇO,3,2024
Açúcar,4.61,ABRIL,4,2024
Açúcar,4.57,MAIO,5,2024
Açúcar,4.56,JUNHO,6,2024
Açúcar,4.59,JULHO,7,2024
Açúcar,4.59,AGOSTO,8,2024
Açúcar,4.51,SETEMBRO,9,2024
Açúcar,4.35,OUTUBRO,10,2024
Açúcar,4.47,NOVEMBRO,11,2024
Açúcar,4.56,DEZEMBRO,12,2024
Açúcar,4.59,JANEIRO,1,2025
Açúcar,4.53,FEVEREIRO,2,2025
Açúcar,4.97,MARÇO,3,2025
Açúcar,4.95,ABRIL,4,2025
Açúcar,4.93,MAIO,5,2025
Açúcar,4.95,JUNHO,6,2025
Açúcar,4.8,JULHO,7,2025
Açúcar,4.78,AGOSTO,8,2025
Açúcar,4.76,SETEMBRO,9,2025
Café,42.22,JANEIRO,1,2023
Café,41.92,FEVEREIRO,2,2023
Café,41.06,MARÇO,3,2023
Café,41.48,ABRIL,4,2023
Café,40.44,MAIO,5,2023
Café,40.04,JUNHO,6,2023
Café,38.98,JULHO,7,2023
Café,38.12,AGOSTO,8,2023
Café,38.3,SETEMBRO,9,2023
Café,38.76,OUTUBRO,10,2023
Café,39.36,NOVEMBRO,11,2023
Café,39.04,DEZEMBRO,12,2023
Café,39.62,JANEIRO,1,2024
Café,40.08,FEVEREIRO,2,2024
Café,40.14,MARÇO,3,2024
Café,40.24,ABRIL,4,2024
Café,41.22,MAIO,5,2024
Café,41.06,JUNHO,6,2024
Café,42.5,JULHO,7,2024
Café,44.46,AGOSTO,8,2024
Café,45.72,SETEMBRO,9,2024
Café,47.2,OUTUBRO,10,2024
Café,49.18,NOVEMBRO,11,2024
Café,51.36,DEZEMBRO,12,2024
Café,54.58,JANEIRO,1,2025
Café,58.22,FEVEREIRO,2,2025
Café,60.5,MARÇO,3,2025
Café,66.68,ABRIL,4,2025
Café,72.34,MAIO,5,2025
Café,74.38,JUNHO,6,2025
Café,72.16,JULHO,7,2025
Café,70.62,AGOSTO,8,2025
Café,70.34,SETEMBRO,9,2025
Farinha,6.73,JANEIRO,1,2023
Farinha,6.76,FEVEREIRO,2,2023
Farinha,6.8,MARÇO,3,2023
Farinha,6.82,ABRIL,4,2023
Farinha,6.94,MAIO,5,2023
Farinha,6.9,JUNHO,6,2023
Farinha,6.68,JULHO,7,2023
Farinha,6.49,AGOSTO,8,2023
Farinha,6.49,SETEMBRO,9,2023
Farinha,6.46,OUTUBRO,10,2023
Farinha,6.33,NOVEMBRO,11,2023
Farinha,6.29,DEZEMBRO,12,2023
Farinha,6.17,JANEIRO,1,2024
Farinha,6.07,FEVEREIRO,2,2024
Farinha,6.05,MARÇO,3,2024
Farinha,5.96,ABRIL,4,2024
Farinha,6.04,MAIO,5,2024
Farinha,6.1,JUNHO,6,2024
Farinha,6.06,JULHO,7,2024
Farinha,6.02,AGOSTO,8,2024
Farinha,6.18,SETEMBRO,9,2024
Farinha,6.25,OUTUBRO,10,2024
Farinha,6.19,NOVEMBRO,11,2024
Farinha,6.14,DEZEMBRO,12,2024
Farinha,6.15,JANEIRO,1,2025
Farinha,6.11,FEVEREIRO,2,2025
Farinha,6.14,MARÇO,3,2025
Farinha,6.09,ABRIL,4,2025
Farinha,6.1,MAIO,5,2025
Farinha,6.05,JUNHO,6,2025
Farinha,5.44,JULHO,7,2025
Farinha,5.4,AGOSTO,8,2025
Farinha,5.45,SETEMBRO,9,2025
Feijão,8.62,JANEIRO,1,2023
Feijão,8.73,FEVEREIRO,2,2023
Feijão,8.82,MARÇO,3,2023
Feijão,9.23,ABRIL,4,2023
Feijão,9.24,MAIO,5,2023
Feijão,8.36,JUNHO,6,2023
Feijão,7.54,JULHO,7,2023
Feijão,7.02,AGOSTO,8,2023
Feijão,6.54,SETEMBRO,9,2023
Feijão,6.25,OUTUBRO,10,2023
Feijão,6.24,NOVEMBRO,11,2023
Feijão,6.6,DEZEMBRO,12,2023
Feijão,7.41,JANEIRO,1,2024
Feijão,7.98,FEVEREIRO,2,2024
Feijão,8.37,MARÇO,3,2024
Feijão,7.89,ABRIL,4,2024
Feijão,7.55,MAIO,5,2024
Feijão,7.2,JUNHO,6,2024
Feijão,7.14,JULHO,7,2024
Feijão,6.82,AGOSTO,8,2024
Feijão,6.86,SETEMBRO,9,2024
Feijão,6.65,OUTUBRO,10,2024
Feijão,6.69,NOVEMBRO,11,2024
Feijão,6.67,DEZEMBRO,12,2024
Feijão,6.7,JANEIRO,1,2025
Feijão,6.55,FEVEREIRO,2,2025
Feijão,6.96,MARÇO,3,2025
Feijão,7.09,ABRIL,4,2025
Feijão,7.1,MAIO,5,2025
Feijão,7.04,JUNHO,6,2025
Feijão,7.01,JULHO,7,2025
Feijão,6.77,AGOSTO,8,2025
Feijão,6.84,SETEMBRO,9,2025
Leite,6.44,JANEIRO,1,2023
Leite,6.55,FEVEREIRO,2,2023
Leite,6.57,MARÇO,3,2023
Leite,6.89,ABRIL,4,2023
Leite,6.94,MAIO,5,2023
Leite,6.92,JUNHO,6,2023
Leite,6.79,JULHO,7,2023
Leite,6.73,AGOSTO,8,2023
Leite,6.6,SETEMBRO,9,2023
Leite,6.43,OUTUBRO,10,2023
Leite,6.26,NOVEMBRO,11,2023
Leite,6.24,DEZEMBRO,12,2023
Leite,6.18,JANEIRO,1,2024
Leite,6.36,FEVEREIRO,2,2024
Leite,6.41,MARÇO,3,2024
Leite,6.43,ABRIL,4,2024
Leite,6.54,MAIO,5,2024
Leite,6.9,JUNHO,6,2024
Leite,6.96,JULHO,7,2024
Leite,6.96,AGOSTO,8,2024
Leite,7.04,SETEMBRO,9,2024
Leite,7.1,OUTUBRO,10,2024
Leite,7.08,NOVEMBRO,11,2024
Leite,7.02,DEZEMBRO,12,2024
