Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
CENTRO,SE,BELA VISTA,621,IDOSA,SETEMBRO,2024
CENTRO,SE,BOM RETIRO,1176,IDOSA,SETEMBRO,2024
CENTRO,SE,CAMBUCI,557,IDOSA,SETEMBRO,2024
CENTRO,SE,CONSOLACAO,254,IDOSA,SETEMBRO,2024
CENTRO,SE,LIBERDADE,787,IDOSA,SETEMBRO,2024
CENTRO,SE,REPUBLICA,1297,IDOSA,SETEMBRO,2024
CENTRO,SE,SANTA CECILIA,997,IDOSA,SETEMBRO,2024
CENTRO,SE,SE,433,IDOSA,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA,1633,IDOSA,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,CARRAO,1198,IDOSA,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,VILA FORMOSA,1524,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,AGUA RASA,1076,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,BELEM,726,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,BRAS,648,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,MOOCA,732,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,PARI,335,IDOSA,SETEMBRO,2024
LESTE 1,MOOCA,TATUAPE,933,IDOSA,SETEMBRO,2024
LESTE 1,PENHA,ARTUR ALVIM,1652,IDOSA,SETEMBRO,2024
LESTE 1,PENHA,CANGAIBA,2289,IDOSA,SETEMBRO,2024
LESTE 1,PENHA,PENHA,1913,IDOSA,SETEMBRO,2024
LESTE 1,PENHA,VILA MATILDE,1682,IDOSA,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,2008,IDOSA,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,1134,IDOSA,SETEMBRO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,4913,IDOSA,SETEMBRO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,3367,IDOSA,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,2113,IDOSA,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,1688,IDOSA,SETEMBRO,2024
LESTE 2,GUAIANASES,GUAIANASES,1782,IDOSA,SETEMBRO,2024
LESTE 2,GUAIANASES,LAJEADO,3056,IDOSA,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,3719,IDOSA,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,2745,IDOSA,SETEMBRO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,2346,IDOSA,SETEMBRO,2024
LESTE 2,ITAQUERA,ITAQUERA,3286,IDOSA,SETEMBRO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,1747,IDOSA,SETEMBRO,2024
LESTE 2,ITAQUERA,PARQUE DO CARMO,1130,IDOSA,SETEMBRO,2024
LESTE 2,SAO MATEUS,IGUATEMI,2344,IDOSA,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO MATEUS,2745,IDOSA,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO RAFAEL,2192,IDOSA,SETEMBRO,2024
LESTE 2,SAO MIGUEL,JARDIM HELENA,2440,IDOSA,SETEMBRO,2024
LESTE 2,SAO MIGUEL,SAO MIGUEL,1611,IDOSA,SETEMBRO,2024
LESTE 2,SAO MIGUEL,VILA JACUI,2328,IDOSA,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,JACANA,1562,IDOSA,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,TREMEMBE,3270,IDOSA,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,MANDAQUI,1419,IDOSA,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,SANTANA,1271,IDOSA,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,TUCURUVI,1418,IDOSA,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA GUILHERME,760,IDOSA,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MARIA,1668,IDOSA,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MEDEIROS,2499,IDOSA,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CACHOEIRINHA,2372,IDOSA,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CASA VERDE,1321,IDOSA,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,LIMAO,1205,IDOSA,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,BRASILANDIA,4350,IDOSA,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,FREGUESIA DO O,2147,IDOSA,SETEMBRO,2024
NORTE 2,PERUS,ANHANGUERA,707,IDOSA,SETEMBRO,2024
NORTE 2,PERUS,PERUS,1175,IDOSA,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,JARAGUA,2733,IDOSA,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,PIRITUBA,2265,IDOSA,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,SAO DOMINGOS,1006,IDOSA,SETEMBRO,2024
OESTE,BUTANTA,BUTANTA,464,IDOSA,SETEMBRO,2024
OESTE,BUTANTA,MORUMBI,366,IDOSA,SETEMBRO,2024
OESTE,BUTANTA,RAPOSO TAVARES,1433,IDOSA,SETEMBRO,2024
OESTE,BUTANTA,RIO PEQUENO,1429,IDOSA,SETEMBRO,2024
OESTE,BUTANTA,VILA SONIA,1183,IDOSA,SETEMBRO,2024
OESTE,LAPA,BARRA FUNDA,154,IDOSA,SETEMBRO,2024
OESTE,LAPA,JAGUARA,307,IDOSA,SETEMBRO,2024
OESTE,LAPA,JAGUARE,394,IDOSA,SETEMBRO,2024
OESTE,LAPA,LAPA,570,IDOSA,SETEMBRO,2024
OESTE,LAPA,PERDIZES,540,IDOSA,SETEMBRO,2024
OESTE,LAPA,VILA LEOPOLDINA,240,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,ALTO DE PINHEIROS,162,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,ITAIM BIBI,492,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,JARDIM PAULISTA,306,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,PINHEIROS,378,IDOSA,SETEMBRO,2024
