Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
CENTRO,SE,BELA VISTA,304,PCD,SETEMBRO,2024
CENTRO,SE,BOM RETIRO,325,PCD,SETEMBRO,2024
CENTRO,SE,CAMBUCI,244,PCD,SETEMBRO,2024
CENTRO,SE,CONSOLACAO,81,PCD,SETEMBRO,2024
CENTRO,SE,LIBERDADE,299,PCD,SETEMBRO,2024
CENTRO,SE,REPUBLICA,517,PCD,SETEMBRO,2024
CENTRO,SE,SANTA CECILIA,569,PCD,SETEMBRO,2024
CENTRO,SE,SE,334,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA,663,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,CARRAO,404,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,VILA FORMOSA,553,PCD,SETEMBRO,2024
LESTE 1,MOOCA,AGUA RASA,423,PCD,SETEMBRO,2024
LESTE 1,MOOCA,BELEM,449,PCD,SETEMBRO,2024
LESTE 1,MOOCA,BRAS,315,PCD,SETEMBRO,2024
LESTE 1,MOOCA,MOOCA,309,PCD,SETEMBRO,2024
LESTE 1,MOOCA,PARI,190,PCD,SETEMBRO,2024
LESTE 1,MOOCA,TATUAPE,312,PCD,SETEMBRO,2024
LESTE 1,PENHA,ARTUR ALVIM,807,PCD,SETEMBRO,2024
LESTE 1,PENHA,CANGAIBA,1300,PCD,SETEMBRO,2024
LESTE 1,PENHA,PENHA,842,PCD,SETEMBRO,2024
LESTE 1,PENHA,VILA MATILDE,692,PCD,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,1037,PCD,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,534,PCD,SETEMBRO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,3206,PCD,SETEMBRO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,2717,PCD,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,1307,PCD,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,819,PCD,SETEMBRO,2024
LESTE 2,GUAIANASES,GUAIANASES,1281,PCD,SETEMBRO,2024
LESTE 2,GUAIANASES,LAJEADO,2379,PCD,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,2794,PCD,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,1956,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,1223,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,ITAQUERA,2110,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,1104,PCD,SETEMBRO,2024
LESTE 2,ITAQUERA,PARQUE DO CARMO,733,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,IGUATEMI,1815,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO MATEUS,1703,PCD,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO RAFAEL,1704,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,JARDIM HELENA,1871,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,SAO MIGUEL,1053,PCD,SETEMBRO,2024
LESTE 2,SAO MIGUEL,VILA JACUI,1550,PCD,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,JACANA,1074,PCD,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,TREMEMBE,2183,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,MANDAQUI,545,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,SANTANA,464,PCD,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,TUCURUVI,464,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA GUILHERME,279,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MARIA,914,PCD,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MEDEIROS,1156,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CACHOEIRINHA,1476,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CASA VERDE,547,PCD,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,LIMAO,565,PCD,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,BRASILANDIA,3119,PCD,SETEMBRO,2024
NORTE 2,FREGUESIA-BRASILANDIA,FREGUESIA DO O,911,PCD,SETEMBRO,2024
NORTE 2,PERUS,ANHANGUERA,592,PCD,SETEMBRO,2024
NORTE 2,PERUS,PERUS,889,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,JARAGUA,1810,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,PIRITUBA,1180,PCD,SETEMBRO,2024
NORTE 2,PIRITUBA-JARAGUA,SAO DOMINGOS,522,PCD,SETEMBRO,2024
OESTE,BUTANTA,BUTANTA,162,PCD,SETEMBRO,2024
OESTE,BUTANTA,MORUMBI,310,PCD,SETEMBRO,2024
OESTE,BUTANTA,RAPOSO TAVARES,941,PCD,SETEMBRO,2024
OESTE,BUTANTA,RIO PEQUENO,889,PCD,SETEMBRO,2024
OESTE,BUTANTA,VILA SONIA,598,PCD,SETEMBRO,2024
OESTE,LAPA,BARRA FUNDA,70,PCD,SETEMBRO,2024
OESTE,LAPA,JAGUARA,132,PCD,SETEMBRO,2024
OESTE,LAPA,JAGUARE,302,PCD,SETEMBRO,2024
OESTE,LAPA,LAPA,224,PCD,SETEMBRO,2024
OESTE,LAPA,PERDIZES,113,PCD,SETEMBRO,2024
OESTE,LAPA,VILA LEOPOLDINA,78,PCD,SETEMBRO,2024
OESTE,PINHEIROS,ALTO DE PINHEIROS,34,PCD,SETEMBRO,2024
OESTE,PINHEIROS,ITAIM BIBI,121,PCD,SETEMBRO,2024
OESTE,PINHEIROS,JARDIM PAULISTA,42,PCD,SETEMBRO,2024
OESTE,PINHEIROS,PINHEIROS,103,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,CURSINO,539,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,IPIRANGA,633,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,SACOMA,1871,PCD,SETEMBRO,2024
SUL 1,JABAQUARA,JABAQUARA,1837,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,MOEMA,39,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,SAUDE,271,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,VILA MARIANA,192,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAMPO LIMPO,2292,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAPAO REDONDO,3190,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,VILA ANDRADE,964,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,1950,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,4987,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,208,PCD,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,3127,PCD,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,1966,PCD,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,4368,PCD,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,2821,PCD,SETEMBRO,2024
SUL 2,PARELHEIROS,MARSILAC,198,PCD,SETEMBRO,2024
SUL 2,PARELHEIROS,PARELHEIROS,2324,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO BELO,196,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,394,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,SANTO AMARO,617,PCD,SETEMBRO,2024
