Macrorregiao,Subprefeitura,Distrito,Total_Familias,Mes,Ano
CENTRO,SE,BELA VISTA,5892,JULHO,2024
CENTRO,SE,BOM RETIRO,9714,JULHO,2024
CENTRO,SE,CAMBUCI,4440,JULHO,2024
CENTRO,SE,CONSOLACAO,1209,JULHO,2024
CENTRO,SE,LIBERDADE,5281,JULHO,2024
CENTRO,SE,REPUBLICA,13108,JULHO,2024
CENTRO,SE,SANTA CECILIA,10143,JULHO,2024
CENTRO,SE,SE,10978,JULHO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA,12056,JULHO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,CARRAO,6394,JULHO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,VILA FORMOSA,9636,JULHO,2024
LESTE 1,MOOCA,AGUA RASA,6702,JULHO,2024
LESTE 1,MOOCA,BELEM,8790,JULHO,2024
LESTE 1,MOOCA,BRAS,7478,JULHO,2024
LESTE 1,MOOCA,MOOCA,8018,JULHO,2024
LESTE 1,MOOCA,PARI,4667,JULHO,2024
LESTE 1,MOOCA,TATUAPE,11035,JULHO,2024
LESTE 1,PENHA,ARTUR ALVIM,16099,JULHO,2024
LESTE 1,PENHA,CANGAIBA,23146,JULHO,2024
LESTE 1,PENHA,PENHA,15663,JULHO,2024
LESTE 1,PENHA,VILA MATILDE,10710,JULHO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,15502,JULHO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,10313,JULHO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,52740,JULHO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,49535,JULHO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,22979,JULHO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,13169,JULHO,2024
LESTE 2,GUAIANASES,GUAIANASES,23824,JULHO,2024
LESTE 2,GUAIANASES,LAJEADO,39742,JULHO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,49071,JULHO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,32618,JULHO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,22259,JULHO,2024
LESTE 2,ITAQUERA,ITAQUERA,36867,JULHO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,21491,JULHO,2024
LESTE 2,ITAQUERA,PARQUE DO CARMO,14406,JULHO,2024
LESTE 2,SAO MATEUS,IGUATEMI,32785,JULHO,2024
LESTE 2,SAO MATEUS,SAO MATEUS,28777,JULHO,2024
LESTE 2,SAO MATEUS,SAO RAFAEL,31926,JULHO,2024
LESTE 2,SAO MIGUEL,JARDIM HELENA,31667,JULHO,2024
LESTE 2,SAO MIGUEL,SAO MIGUEL,17429,JULHO,2024
LESTE 2,SAO MIGUEL,VILA JACUI,27422,JULHO,2024
NORTE 1,JACANA-TREMEMBE,JACANA,15703,JULHO,2024
NORTE 1,JACANA-TREMEMBE,TREMEMBE,35142,JULHO,2024
NORTE 1,SANTANA-TUCURUVI,MANDAQUI,9169,JULHO,2024
NORTE 1,SANTANA-TUCURUVI,SANTANA,10296,JULHO,2024
NORTE 1,SANTANA-TUCURUVI,TUCURUVI,7970,JULHO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA GUILHERME,5489,JULHO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MARIA,21369,JULHO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MEDEIROS,20288,JULHO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CACHOEIRINHA,25298,JULHO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CASA VERDE,9933,JULHO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,LIMAO,11082,JULHO,2024
NORTE 2,FREGUESIA-BRASILANDIA,BRASILANDIA,55449,JULHO,2024
NORTE 2,FREGUESIA-BRASILANDIA,FREGUESIA DO O,17114,JULHO,2024
NORTE 2,PERUS,ANHANGUERA,13859,JULHO,2024
NORTE 2,PERUS,PERUS,17910,JULHO,2024
NORTE 2,PIRITUBA-JARAGUA,JARAGUA,37500,JULHO,2024
NORTE 2,PIRITUBA-JARAGUA,PIRITUBA,20825,JULHO,2024
NORTE 2,PIRITUBA-JARAGUA,SAO DOMINGOS,10034,JULHO,2024
OESTE,BUTANTA,BUTANTA,3825,JULHO,2024
OESTE,BUTANTA,MORUMBI,5832,JULHO,2024
OESTE,BUTANTA,RAPOSO TAVARES,17381,JULHO,2024
OESTE,BUTANTA,RIO PEQUENO,15059,JULHO,2024
OESTE,BUTANTA,VILA SONIA,10830,JULHO,2024
OESTE,LAPA,BARRA FUNDA,1473,JULHO,2024
OESTE,LAPA,JAGUARA,2482,JULHO,2024
OESTE,LAPA,JAGUARE,6516,JULHO,2024
OESTE,LAPA,LAPA,3967,JULHO,2024
OESTE,LAPA,PERDIZES,2321,JULHO,2024
OESTE,LAPA,VILA LEOPOLDINA,1810,JULHO,2024
OESTE,PINHEIROS,ALTO DE PINHEIROS,662,JULHO,2024
OESTE,PINHEIROS,ITAIM BIBI,1759,JULHO,2024
OESTE,PINHEIROS,JARDIM PAULISTA,1173,JULHO,2024
OESTE,PINHEIROS,PINHEIROS,2112,JULHO,2024
SUL 1,IPIRANGA,CURSINO,10106,JULHO,2024
SUL 1,IPIRANGA,IPIRANGA,10733,JULHO,2024
SUL 1,IPIRANGA,SACOMA,34866,JULHO,2024
SUL 1,JABAQUARA,JABAQUARA,32623,JULHO,2024
SUL 1,VILA MARIANA,MOEMA,681,JULHO,2024
SUL 1,VILA MARIANA,SAUDE,4815,JULHO,2024
SUL 1,VILA MARIANA,VILA MARIANA,4635,JULHO,2024
SUL 2,CAMPO LIMPO,CAMPO LIMPO,39306,JULHO,2024
SUL 2,CAMPO LIMPO,CAPAO REDONDO,50932,JULHO,2024
SUL 2,CAMPO LIMPO,VILA ANDRADE,18530,JULHO,2024
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,33498,JULHO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,87582,JULHO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,3574,JULHO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,53984,JULHO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,34133,JULHO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,67955,JULHO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,47909,JULHO,2024
SUL 2,PARELHEIROS,MARSILAC,2756,JULHO,2024
SUL 2,PARELHEIROS,PARELHEIROS,34344,JULHO,2024
SUL 2,SANTO AMARO,CAMPO BELO,3388,JULHO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,6778,JULHO,2024
SUL 2,SANTO AMARO,SANTO AMARO,5764,JULHO,2024
