Distrito,Matrículas no ensino básico em escolas públicas,Idade média ao morrer,Acesso internet móvel (por área/km²),Equipamentos públicos de cultura,Ideb (Escolas públicas - anos iniciais),Ideb (Escolas públicas - anos finais),Equipamentos públicos de esporte,Homicídios,Favelas,Gravidez na adolescência,Mortalidade materna,Mortalidade infantil,Tempo médio para consultas na atenção básica,Incidência de dengue,Abandono escolar no ensino fundamental da rede municipal,Esforço docente,Emissão de poluentes atmosféricos por área (kg/km²/dia),Violência racial,Tempo de atendimento para vaga em creche,Adequação da formação docente,Distorção idade-série no ensino fundamental da rede municipal,Tempo médio de deslocamento por transporte público,Mortalidade por doenças do aparelho respiratório,Violência contra a mulher (todas)
SAO DOMINGOS,91.86522993,70,4.954499494,3.4601,5.733333333,5.0,0.1154667744,6.9,12.0159,6.912,74.04664939,10.033,16.0,186.8,2.373605507,7.778571429,0.1505934982,1.387219088,8,6.766666667,5.085714286,44,96.88246081,212.2941583
ITAIM BIBI,44.91626794,79,39.98005982,3.0842,6.1,4.45,0.4112729927,1.0,0.7455,0.356,0.0,1.781,15.0,137.8,1.400329489,2.175,0.5706004875,4.010488971,11,6.266666667,3.5,27,71.96463452,282.9101209
LAJEADO,95.64510945,61,3.287981859,1.1247,5.6,4.74,0.2263352364,8.0,6.9439,9.404,28.05836139,17.219,19.0,74.2,0.9809932557,8.307142857,0.267796748,1.366493577,3,5.033333333,3.928571429,56,67.48093664,258.3610405
PINHEIROS,27.99825238,81,24.03846154,1.5265,6.5,5.8,0.0,1.5,0.0755,0.967,0.0,1.934,14.0,207.6,3.215434084,0.0,0.6209071037,1.42710549,6,10.23333333,7.1,25,51.90126547,392.4180328
JAGUARA,92.67561168,76,3.930131004,0.0,5.7,5.1,1.259287243,4.2,2.6642,5.532,0.0,0.0,14.0,589.3,1.70212766,7.0,0.1909244597,0.8372755055,3,6.75,6.0,44,101.0143525,332.508931
JABAQUARA,64.86505581,71,7.922912206,2.6047,5.585714286,4.98,0.1738986779,6.1,16.0481,7.11,14.89646954,11.927,19.0,44.7,1.102088167,7.442857143,0.4037102186,1.610901887,5,6.080952381,6.0,38,79.87879261,225.8859599
ITAQUERA,79.22963917,66,5.023761032,0.9366,5.4,5.0,0.09395184968,6.1,5.9641,8.854,48.95361645,12.486,33.0,244.0,1.889588737,6.15,0.6765471903,0.8787929331,4,6.283333333,5.466666667,50,94.5994043,317.7615498
BELEM,59.19529322,70,5.619834711,0.0,6.2,5.2,0.4027791763,4.1,3.7276,7.36,0.0,5.841,18.0,132.3,0.944386149,4.8,0.5271463718,3.236638751,13,5.766666667,6.4,28,126.3132569,306.9642515
SANTO AMARO,31.61433293,77,16.52119701,10.765,6.133333333,5.166666667,0.2689618074,0.0,0.1585,0.506,0.0,12.658,26.0,105.0,2.397260274,12.8375,0.7416346072,1.633313053,11,6.916666667,6.333333333,28,131.8710893,381.9788406
JARDIM PAULISTA,7.152613933,81,38.93376414,0.0,NAO INFORMADO,NAO INFORMADO,0.0,1.1,0.0,0.559,0.0,5.594,NAO INFORMADO,114.1,NAO INFORMADO,NAO INFORMADO,0.5981045262,3.312245371,19,NAO INFORMADO,NAO INFORMADO,29,118.5214723,260.6732348
