Macrorregiao,Subprefeitura,Distrito,Total_Familias,Mes,Ano
CENTRO,SE,BELA VISTA,2495,JANEIRO,2024
CENTRO,SE,BOM RETIRO,4935,JANEIRO,2024
CENTRO,SE,CAMBUCI,2000,JANEIRO,2024
CENTRO,SE,CONSOLACAO,465,JANEIRO,2024
CENTRO,SE,LIBERDADE,1921,JANEIRO,2024
CENTRO,SE,REPUBLICA,6005,JANEIRO,2024
CENTRO,SE,SANTA CECILIA,4860,JANEIRO,2024
CENTRO,SE,SE,5662,JANEIRO,2024
LESTE 1,ARICANDUVAFORMOSACARRAO,ARICANDUVA,4645,JANEIRO,2024
LESTE 1,ARICANDUVAFORMOSACARRAO,CARRAO,2063,JANEIRO,2024
LESTE 1,ARICANDUVAFORMOSACARRAO,VILA FORMOSA,3322,JANEIRO,2024
LESTE 1,MOOCA,AGUA RASA,2546,JANEIRO,2024
LESTE 1,MOOCA,BELEM,4744,JANEIRO,2024
LESTE 1,MOOCA,BRAS,3181,JANEIRO,2024
LESTE 1,MOOCA,MOOCA,4263,JANEIRO,2024
LESTE 1,MOOCA,PARI,2616,JANEIRO,2024
LESTE 1,MOOCA,TATUAPE,6527,JANEIRO,2024
LESTE 1,PENHA,ARTUR ALVIM,6004,JANEIRO,2024
LESTE 1,PENHA,CANGAIBA,9421,JANEIRO,2024
LESTE 1,PENHA,PENHA,6111,JANEIRO,2024
LESTE 1,PENHA,VILA MATILDE,3818,JANEIRO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,21904,JANEIRO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,5794,JANEIRO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,4127,JANEIRO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,22054,JANEIRO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,9690,JANEIRO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,5013,JANEIRO,2024
LESTE 2,GUAIANASES,GUAIANASES,9527,JANEIRO,2024
LESTE 2,GUAIANASES,LAJEADO,18041,JANEIRO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,21268,JANEIRO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,13686,JANEIRO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,8898,JANEIRO,2024
LESTE 2,ITAQUERA,ITAQUERA,15174,JANEIRO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,7814,JANEIRO,2024
