nome,preco,data_mes,mes_nome,data_ano
ACUCAR,4.07,1,JANEIRO,2023
ACUCAR,4.12,2,FEVEREIRO,2023
ACUCAR,4.09,3,MARCO,2023
ACUCAR,4.03,4,ABRIL,2023
ACUCAR,4.14,5,MAIO,2023
ACUCAR,4.23,6,JUNHO,2023
ACUCAR,4.21,7,JULHO,2023
ACUCAR,4.25,8,AGOSTO,2023
ACUCAR,4.25,9,SETEMBRO,2023
ACUCAR,4.34,10,OUTUBRO,2023
ACUCAR,4.4,11,NOVEMBRO,2023
ACUCAR,4.49,12,DEZEMBRO,2023
ACUCAR,4.53,1,JANEIRO,2024
ACUCAR,4.56,2,FEVEREIRO,2024
ACUCAR,4.59,3,MARCO,2024
ACUCAR,4.61,4,ABRIL,2024
ACUCAR,4.57,5,MAIO,2024
ACUCAR,4.56,6,JUNHO,2024
ACUCAR,4.59,7,JULHO,2024
ACUCAR,4.59,8,AGOSTO,2024
ACUCAR,4.51,9,SETEMBRO,2024
ACUCAR,4.35,10,OUTUBRO,2024
ACUCAR,4.47,11,NOVEMBRO,2024
ACUCAR,4.56,12,DEZEMBRO,2024
ACUCAR,4.59,1,JANEIRO,2025
ACUCAR,4.53,2,FEVEREIRO,2025
ACUCAR,4.97,3,MARCO,2025
ACUCAR,4.95,4,ABRIL,2025
ACUCAR,4.93,5,MAIO,2025
ACUCAR,4.95,6,JUNHO,2025
ACUCAR,4.8,7,JULHO,2025
ACUCAR,4.78,8,AGOSTO,2025
ACUCAR,4.76,9,SETEMBRO,2025
ARROZ,4.3,1,JANEIRO,2023
ARROZ,4.22,2,FEVEREIRO,2023
ARROZ,4.31,3,MARCO,2023
ARROZ,4.4,4,ABRIL,2023
ARROZ,4.53,5,MAIO,2023
ARROZ,4.49,6,JUNHO,2023
ARROZ,4.4,7,JULHO,2023
ARROZ,4.36,8,AGOSTO,2023
ARROZ,4.62,9,SETEMBRO,2023
ARROZ,4.67,10,OUTUBRO,2023
ARROZ,4.93,11,NOVEMBRO,2023
ARROZ,5.1,12,DEZEMBRO,2023
ARROZ,5.58,1,JANEIRO,2024
ARROZ,5.78,2,FEVEREIRO,2024
ARROZ,5.84,3,MARCO,2024
ARROZ,5.75,4,ABRIL,2024
ARROZ,5.88,5,MAIO,2024
ARROZ,6.05,6,JUNHO,2024
ARROZ,6.11,7,JULHO,2024
ARROZ,6.15,8,AGOSTO,2024
ARROZ,6.02,9,SETEMBRO,2024
ARROZ,6.03,10,OUTUBRO,2024
ARROZ,5.99,11,NOVEMBRO,2024
ARROZ,5.9,12,DEZEMBRO,2024
ARROZ,5.88,1,JANEIRO,2025
ARROZ,5.81,2,FEVEREIRO,2025
ARROZ,6.08,3,MARCO,2025
ARROZ,5.86,4,ABRIL,2025
ARROZ,5.67,5,MAIO,2025
ARROZ,5.48,6,JUNHO,2025
ARROZ,5.21,7,JULHO,2025
ARROZ,5.08,8,AGOSTO,2025
ARROZ,4.95,9,SETEMBRO,2025
CAFE,42.22,1,JANEIRO,2023
CAFE,41.92,2,FEVEREIRO,2023
CAFE,41.06,3,MARCO,2023
CAFE,41.48,4,ABRIL,2023
CAFE,40.44,5,MAIO,2023
CAFE,40.04,6,JUNHO,2023
CAFE,38.98,7,JULHO,2023
CAFE,38.12,8,AGOSTO,2023
CAFE,38.3,9,SETEMBRO,2023
CAFE,38.76,10,OUTUBRO,2023
CAFE,39.36,11,NOVEMBRO,2023
CAFE,39.04,12,DEZEMBRO,2023
CAFE,39.62,1,JANEIRO,2024
CAFE,40.08,2,FEVEREIRO,2024
CAFE,40.14,3,MARCO,2024
CAFE,40.24,4,ABRIL,2024
CAFE,41.22,5,MAIO,2024
CAFE,41.06,6,JUNHO,2024
CAFE,42.5,7,JULHO,2024
CAFE,44.46,8,AGOSTO,2024
CAFE,45.72,9,SETEMBRO,2024
CAFE,47.2,10,OUTUBRO,2024
CAFE,49.18,11,NOVEMBRO,2024
CAFE,51.36,12,DEZEMBRO,2024
CAFE,54.58,1,JANEIRO,2025
CAFE,58.22,2,FEVEREIRO,2025
CAFE,60.5,3,MARCO,2025
CAFE,66.68,4,ABRIL,2025
CAFE,72.34,5,MAIO,2025
CAFE,74.38,6,JUNHO,2025
CAFE,72.16,7,JULHO,2025
CAFE,70.62,8,AGOSTO,2025
CAFE,70.34,9,SETEMBRO,2025
FARINHA,6.73,1,JANEIRO,2023
FARINHA,6.76,2,FEVEREIRO,2023
FARINHA,6.8,3,MARCO,2023
FARINHA,6.82,4,ABRIL,2023
FARINHA,6.94,5,MAIO,2023
FARINHA,6.9,6,JUNHO,2023
FARINHA,6.68,7,JULHO,2023
FARINHA,6.49,8,AGOSTO,2023
FARINHA,6.49,9,SETEMBRO,2023
FARINHA,6.46,10,OUTUBRO,2023
FARINHA,6.33,11,NOVEMBRO,2023
FARINHA,6.29,12,DEZEMBRO,2023
FARINHA,6.17,1,JANEIRO,2024
FARINHA,6.07,2,FEVEREIRO,2024
FARINHA,6.05,3,MARCO,2024
FARINHA,5.96,4,ABRIL,2024
FARINHA,6.04,5,MAIO,2024
FARINHA,6.1,6,JUNHO,2024
FARINHA,6.06,7,JULHO,2024
FARINHA,6.02,8,AGOSTO,2024
FARINHA,6.18,9,SETEMBRO,2024
FARINHA,6.25,10,OUTUBRO,2024
FARINHA,6.19,11,NOVEMBRO,2024
FARINHA,6.14,12,DEZEMBRO,2024
FARINHA,6.15,1,JANEIRO,2025
FARINHA,6.11,2,FEVEREIRO,2025
FARINHA,6.14,3,MARCO,2025
FARINHA,6.09,4,ABRIL,2025
FARINHA,6.1,5,MAIO,2025
FARINHA,6.05,6,JUNHO,2025
FARINHA,5.44,7,JULHO,2025
FARINHA,5.4,8,AGOSTO,2025
FARINHA,5.45,9,SETEMBRO,2025
FEIJAO,8.62,1,JANEIRO,2023
FEIJAO,8.73,2,FEVEREIRO,2023
FEIJAO,8.82,3,MARCO,2023
FEIJAO,9.23,4,ABRIL,2023
FEIJAO,9.24,5,MAIO,2023
FEIJAO,8.36,6,JUNHO,2023
FEIJAO,7.54,7,JULHO,2023
FEIJAO,7.02,8,AGOSTO,2023
FEIJAO,6.54,9,SETEMBRO,2023
FEIJAO,6.25,10,OUTUBRO,2023
FEIJAO,6.24,11,NOVEMBRO,2023
FEIJAO,6.6,12,DEZEMBRO,2023
FEIJAO,7.41,1,JANEIRO,2024
FEIJAO,7.98,2,FEVEREIRO,2024
FEIJAO,8.37,3,MARCO,2024
FEIJAO,7.89,4,ABRIL,2024
FEIJAO,7.55,5,MAIO,2024
FEIJAO,7.2,6,JUNHO,2024
FEIJAO,7.14,7,JULHO,2024
FEIJAO,6.82,8,AGOSTO,2024
FEIJAO,6.86,9,SETEMBRO,2024
FEIJAO,6.65,10,OUTUBRO,2024
FEIJAO,6.69,11,NOVEMBRO,2024
FEIJAO,6.67,12,DEZEMBRO,2024
FEIJAO,6.7,1,JANEIRO,2025
FEIJAO,6.55,2,FEVEREIRO,2025
FEIJAO,6.96,3,MARCO,2025
FEIJAO,7.09,4,ABRIL,2025
FEIJAO,7.1,5,MAIO,2025
FEIJAO,7.04,6,JUNHO,2025
FEIJAO,7.01,7,JULHO,2025
FEIJAO,6.77,8,AGOSTO,2025
FEIJAO,6.84,9,SETEMBRO,2025
LEITE,6.44,1,JANEIRO,2023
LEITE,6.55,2,FEVEREIRO,2023
LEITE,6.57,3,MARCO,2023
LEITE,6.89,4,ABRIL,2023
LEITE,6.94,5,MAIO,2023
LEITE,6.92,6,JUNHO,2023
LEITE,6.79,7,JULHO,2023
LEITE,6.73,8,AGOSTO,2023
LEITE,6.6,9,SETEMBRO,2023
LEITE,6.43,10,OUTUBRO,2023
LEITE,6.26,11,NOVEMBRO,2023
LEITE,6.24,12,DEZEMBRO,2023
LEITE,6.18,1,JANEIRO,2024
LEITE,6.36,2,FEVEREIRO,2024
LEITE,6.41,3,MARCO,2024
LEITE,6.43,4,ABRIL,2024
LEITE,6.54,5,MAIO,2024
LEITE,6.9,6,JUNHO,2024
LEITE,6.96,7,JULHO,2024
LEITE,6.96,8,AGOSTO,2024
LEITE,7.04,9,SETEMBRO,2024
LEITE,7.1,10,OUTUBRO,2024
LEITE,7.08,11,NOVEMBRO,2024
LEITE,7.02,12,DEZEMBRO,2024
LEITE,6.89,1,JANEIRO,2025
LEITE,6.95,2,FEVEREIRO,2025
LEITE,6.83,3,MARCO,2025
LEITE,6.91,4,ABRIL,2025
LEITE,6.91,5,MAIO,2025
LEITE,6.85,6,JUNHO,2025
LEITE,6.9,7,JULHO,2025
LEITE,6.87,8,AGOSTO,2025
LEITE,6.82,9,SETEMBRO,2025
OLEO,8.87,1,JANEIRO,2023
OLEO,8.64,2,FEVEREIRO,2023
OLEO,8.45,3,MARCO,2023
OLEO,8.11,4,ABRIL,2023
OLEO,7.53,5,MAIO,2023
OLEO,6.94,6,JUNHO,2023
OLEO,6.57,7,JULHO,2023
OLEO,6.3,8,AGOSTO,2023
OLEO,6.19,9,SETEMBRO,2023
OLEO,6.14,10,OUTUBRO,2023
OLEO,5.98,11,NOVEMBRO,2023
OLEO,6.13,12,DEZEMBRO,2023
OLEO,6.53,1,JANEIRO,2024
OLEO,6.61,2,FEVEREIRO,2024
OLEO,6.37,3,MARCO,2024
OLEO,6.25,4,ABRIL,2024
OLEO,6.3,5,MAIO,2024
OLEO,6.44,6,JUNHO,2024
OLEO,6.55,7,JULHO,2024
OLEO,6.62,8,AGOSTO,2024
OLEO,6.81,9,SETEMBRO,2024
OLEO,7.17,10,OUTUBRO,2024
OLEO,7.81,11,NOVEMBRO,2024
OLEO,8.59,12,DEZEMBRO,2024
OLEO,8.84,1,JANEIRO,2025
OLEO,8.57,2,FEVEREIRO,2025
OLEO,8.43,3,MARCO,2025
OLEO,8.1,4,ABRIL,2025
OLEO,7.77,5,MAIO,2025
OLEO,7.71,6,JUNHO,2025
OLEO,7.67,7,JULHO,2025
OLEO,7.66,8,AGOSTO,2025
OLEO,7.87,9,SETEMBRO,2025
