Distrito,Categoria,Quantidade_Familias,Total_CadUnico,Percentual
BELA VISTA,Baixa Renda,1590,5892,26.99
BELA VISTA,Extrema Pobreza,5102,5892,86.59
BELA VISTA,Pobreza,858,5892,14.56
BOM RETIRO,Baixa Renda,2434,9714,25.06
BOM RETIRO,Extrema Pobreza,9998,9714,102.92
BOM RETIRO,Pobreza,1346,9714,13.86
CAMBUCI,Baixa Renda,1656,4440,37.3
CAMBUCI,Extrema Pobreza,3784,4440,85.23
CAMBUCI,Pobreza,882,4440,19.86
CONSOLACAO,Baixa Renda,550,1209,45.49
CONSOLACAO,Extrema Pobreza,882,1209,72.95
CONSOLACAO,Pobreza,262,1209,21.67
LIBERDADE,Baixa Renda,1882,5281,35.64
LIBERDADE,Extrema Pobreza,3828,5281,72.49
LIBERDADE,Pobreza,956,5281,18.1
REPUBLICA,Baixa Renda,2698,13108,20.58
REPUBLICA,Extrema Pobreza,13030,13108,99.4
REPUBLICA,Pobreza,1526,13108,11.64
SANTA CECILIA,Baixa Renda,2170,10143,21.39
SANTA CECILIA,Extrema Pobreza,10306,10143,101.61
SANTA CECILIA,Pobreza,1128,10143,11.12
SE,Baixa Renda,1838,10978,16.74
SE,Extrema Pobreza,12210,10978,111.22
SE,Pobreza,1276,10978,11.62
