metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
80,famílias,%,epública estava abandonado há quase 20 anos quando cerca de 80 famílias da  Frente de Luta por Moradia ocuparam o edifício. O prédi,populacao,9.165_ic_2.txt,Brazil,,,,,
200,pessoas,pessoas,"á instalada  há  aproximadamente  3  meses  com  cerca  de  200  pessoas  do  Movimento  de  Luta  Social por Moradia. O edifício, q",populacao,9.165_ic_2.txt,Brazil,,,,,
200,famílias,%,"bandonado há cerca de 3 anos e hoje abriga aproximadamente  200 famílias, integrantes do Frente de Luta por Moradia. Antigo hotel re",populacao,9.165_ic_2.txt,Brazil,,,,,
475,famílias,%,"Vista, estava abandonado há cerca de  10 anos e hoje abriga 475 famílias, quase 2 mil pessoas, integrantes do Movimento  Sem Teto do",populacao,9.165_ic_2.txt,Brazil,,,,,
",",famílias,%,"de parte dos  moradores é estrangeiro (haitianos, angolanos), famílias e também integrantes da  comunidade  LGBT.  Como  nas  outr",populacao,9.165_ic_2.txt,Brazil,,,,,
80,familias,familias,epublica estava abandonado ha quase 20 anos quando cerca de 80 familias da Frente de Luta por Moradia ocuparam o edificio. O prédio,populacao,9.165_ic_2.txt,Brazil,,,,,
200,pessoas,pessoas,"ente esta instalada ha aproximadamente 3 meses com cerca de 200 pessoas do Movimento de Luta Social por Moradia. O edificio, que ai",populacao,9.165_ic_2.txt,Brazil,,,,,
200,familias,familias,"abandonado ha cerca de 3 anos e hoje abriga aproximadamente 200 familias, integrantes do Frente de Luta por Moradia. Antigo hotel re",populacao,9.165_ic_2.txt,Brazil,,,,,
475,familias,familias,"Vista, estava abandonado ha cerca de 10 anos e hoje abriga 475 familias, quase 2 mil pessoas, integrantes do Movimento Sem Teto do",populacao,9.165_ic_2.txt,Brazil,,,,,
",",familias,familias,"nde parte dos moradores é estrangeiro (haitianos, angolanos), familias e também integrantes da comunidade LGBT. Como nas outras oc",populacao,9.165_ic_2.txt,Brazil,,,,,
