metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
fome,75,%,Castro  José Graziano da Silva   Linha do tempo | Combate à fome: 75 anos de políticas públicas  Cátedra Josué de Castro   PARTE,fome,dafomeafome.txt,Brazil,,,,,
fome,11,%,sigualdades e das  amarras históricas que já determinavam a fome   11 11  enfrentada no Brasil vivido por Josué de Castro?  (iii),fome,dafomeafome.txt,Brazil,,,,,
fome,75,%,"um de nós se envolveu na missão de revi- sitar Geografia da fome 75 anos depois, buscando  entender o passado e o presente por",fome,dafomeafome.txt,Brazil,,,,,
FOME,16,%,"CASTROE A GEOGRAFIA DA FOMEJOSUÉ DE CASTROE A GEOGRAFIA DA FOME16  Foto: Divulgação  “  Ô Josué, eu nunca vi tamanha desgraça",fome,dafomeafome.txt,Brazil,,,,,
fome,4,%,a implantada no país.  Os milhões de brasileiros que passam fome4 hoje  sinalizam que a obra de Josué de Castro resiste à  pr,fome,dafomeafome.txt,Brazil,São Paulo,,,,
FOME,75,%,"-1973. Bauru: Praxis, 2021.  44  LINHA DO TEMPO  COMBATE À FOME:  75 ANOS DE POLÍTICAS  PÚBLICAS  COMBATE À FOME: 75 ANOS DE POL",fome,dafomeafome.txt,Brazil,,,,,
FOME,75,%,COMBATE À FOME:  75 ANOS DE POLÍTICAS  PÚBLICAS  COMBATE À FOME: 75 ANOS DE POLÍTICAS PÚBLICAS45  Esta linha do tempo tem iníc,fome,dafomeafome.txt,Brazil,,,,,
fome,75,%,e Castro José Graziano da Silva  Linha do tempo | Combate a fome: 75 anos de politicas publicas Catedra Josué de Castro  PARTE I,fome,dafomeafome.txt,Brazil,,,,,
fome,75,%,"um de nos se envolveu na missao de revi- sitar Geografia da fome 75 anos depois, buscando entender o passado e o presente por m",fome,dafomeafome.txt,Brazil,,,,,
FOME,1,%,"Josué de Castro, 1930-1973. Bauru: Praxis, 2021.   SOMBATEAFOME 1 ANOS DE POLITICA PUBIGS   Esta linha do tempo tem inicio co",fome,dafomeafome.txt,Brazil,,,,,
",",pessoas,pessoas,"contra apenas 15% em idosos.  Em termos de raça/cor da pele, pessoas brancas  apresentaram uma estagnação, sem aumento sig-  nif",populacao,dafomeafome.txt,Brazil,,,,,
",",pessoas,pessoas,"o  branca era de 11,7%. Já as taxas de desocupação,  isto  é,  pessoas  que  estavam  havia  dois  anos  ou  mais  sem  trabalho,",populacao,dafomeafome.txt,Brazil,,,,,
",",pessoas,pessoas,"lios chefiados por pessoas de cor preta ou  parda,  mulheres,  pessoas  com  baixa  escolarida- de e os localizados no meio rural.",populacao,dafomeafome.txt,Brazil,,,,,
.,Famílias,%,s  com  baixa  escolarida- de e os localizados no meio rural. Famílias rurais  que deveriam ser ao menos capazes de produzir  o pr,populacao,dafomeafome.txt,Brazil,São Paulo,,,,
4,famílias,%,"42, p. 21, 24 jan. 2022.  CARRANÇA,  Thais.  “3  em  cada  4  famílias  do  campo  comem  mal  ou  passam  fome  no  Brasil”,  BBC",populacao,dafomeafome.txt,Brazil,,,,,
914.144,pessoas,pessoas,"o- riais. Em 2020, ocorreram 2.054 conflitos, envol- vendo  914.144  pessoas  em  77.442.957  hectares.  Um  total  de  477  famílias  f",populacao,dafomeafome.txt,Brazil,,,,,
477,famílias,%,914.144  pessoas  em  77.442.957  hectares.  Um  total  de  477  famílias  foram  impedidas  de  acessar áreas coletivas (Centro de D,populacao,dafomeafome.txt,Brazil,,São Paulo,centro,,
",",pessoas,pessoas,"contra apenas 15% em idosos.  Em termos de racga/cor da pele, pessoas brancas apresentaram uma estagnacao, sem aumento sig-  Pote",populacao,dafomeafome.txt,Brazil,,,,,
",",pessoas,pessoas,"acao branca era de 11,7%. Ja as taxas de desocupacao, isto é, pessoas que estavam havia dois anos ou mais sem trabalho, aumentara",populacao,dafomeafome.txt,Brazil,,,,,
",",pessoas,pessoas,"cilios chefiados por pessoas de cor preta ou parda, mulheres, pessoas com baixa escolarida- de e os localizados no meio rural. Fa",populacao,dafomeafome.txt,Brazil,,,,,
.,Familias,familias,soas com baixa escolarida- de e os localizados no meio rural. Familias rurais que deveriam ser ao menos capazes de produzir o prop,populacao,dafomeafome.txt,Brazil,,,,,
4,familias,familias,", n. 42, p. 21, 24 jan. 2022.  CARRANCA, ‘Thais. “3 em cada 4 familias do campo comem mal ou passam fome no Brasil”, BBC News Bras",populacao,dafomeafome.txt,Brazil,,,,,
914.144,pessoas,pessoas,"to- riais. Em 2020, ocorreram 2.054 conflitos, envol- vendo 914.144 pessoas em 77.442.957 hectares. Um total de 477 familias foram impe",populacao,dafomeafome.txt,Brazil,,,,,
477,familias,familias,- vendo 914.144 pessoas em 77.442.957 hectares. Um total de 477 familias foram impedidas de acessar areas coletivas (Centro de Docum,populacao,dafomeafome.txt,Brazil,,São Paulo,centro,,
