metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
800,famílias,%,"esapropriação da Favela do Moinho, que abriga hoje cerca de 800 famílias,  para a construção de um parque, além transferência do Ter",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
800,pessoas,pessoas,"ir ao menos cinco quadras, ocupadas atualmente por cerca de 800 pessoas, segundo os dados do Censo populacional do IBGE de 2022, pa",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
",",pessoas,pessoas,"recorda Braldrainer (2021) com as palavras de Ailton Krenak, pessoas numa  ""contagem regressiva""para a extinção"" (p. 498). Fazem",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
40,pessoas,pessoas,"ia nos receber com um pouco de atraso.  Com aproximadamente 40 pessoas pessoas acomodadas em seus acentos,  resolve expandir o vol",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
40,pessoas,pessoas,"odos riem.  156  Ao final da apresentação, de cada uma das 40 pessoas ali, a síntese  automática em afirmativas de pedidos de aju",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
800,famílias,%,de um parque  na localidade que hoje abriga aproximadamente 800 famílias na comunidade  161  da Favela do Moinho35. Somadas a estas,populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
800,familias,familias,"esapropriagao da Favela do Moinho, que abriga hoje cerca de 800 familias,  para a construgao de um parque, além transferéncia do Ter",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
800,pessoas,pessoas,"ir ao menos cinco quadras, ocupadas atualmente por cerca de 800 pessoas, segundo os dados do Censo populacional do IBGE de 2022, pa",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
"74,",pessoas,pessoas,"ara-transferir-secretarias-par a-a-regiao-da-cracolandia/   74,  pessoas, dividindo-as, examinando-as, adestrando-as, sujeitando-as.",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
",",pessoas,pessoas,"recorda Braldrainer (2021) com as palavras de Ailton Krenak, pessoas numa ""contagem regressiva""para a exting¢ao"" (p. 498). Fazem",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
40,pessoas,pessoas,"ria nos receber com um pouco de atraso. Com aproximadamente 40 pessoas pessoas acomodadas em seus acentos, resolve expandir o volu",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
40,pessoas,pessoas,"odos riem.   156  Ao final da apresentagao, de cada uma das 40 pessoas ali, a sintese automatica em afirmativas de pedidos de ajud",populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
800,familias,familias,de um parque  na localidade que hoje abriga aproximadamente 800 familias na comunidade   161  da Favela do Moinho*®. Somadas a estas,populacao,lilian_breschigliaro_franca_de_oliveira.txt,Brazil,,,,,
