metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
1.200,pessoas,pessoas,"os delegados eleitos regionalmente) participa- ram cerca de 1.200 pessoas, que discutiram as propostas saídas das sete etapas ma- cro",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
100.536,habitantes,pessoas,"ulação  em  situação  rural  na  cidade  em  2010  era  de  100.536  habitantes.  Se- gundo  dados  do  Censo  Demográfico  do  IBGE,  “(..",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
139.441,habitantes,pessoas,a região sul da cidade a  menor densidade demográfica detém 139.441 habitantes (Subprefeitura de Parelhei- ros) e a maior possui 607.105 h,populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,São Paulo,zona sul,,
607.105,habitantes,pessoas,abitantes (Subprefeitura de Parelhei- ros) e a maior possui 607.105 habitantes (Subprefeitura de Campo Limpo). A Subpre- feitura do Butant,populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
",",pessoas,pessoas,"indígenas, negros, imigrantes, população em situação de rua, pessoas  com deficiência, empreendimentos de economia solidária, pe",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
",",pessoas,pessoas,"notadamente  na  faixa  etária  de  0  a  4  anos,  mulheres,  pessoas idosas ou negras e pardas possuem maior vulnerabilidade par",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
650,pessoas,pessoas,"guá, estão  concentrados em três aldeias. No Jaraguá, vivem 650 pessoas, e em Parelheiros 900  pessoas na aldeia Tenonde Porã e 255",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
900,pessoas,pessoas,"ês aldeias. No Jaraguá, vivem 650 pessoas, e em Parelheiros 900  pessoas na aldeia Tenonde Porã e 255 na aldeia Krukutu, sendo que d",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
15.905,pessoas,pessoas,"ua na cidade de São Paulo (FIPE, 2015), o município possui  15.905  pessoas  nesta  condição,  sendo  7.335  vivendo  nas  ruas  e  8.5",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,São Paulo,,,,
221,pessoas,pessoas,"nomia popular e solidária, entre outras. Foram beneficiadas 221 pessoas.  Outra área de atuação é a economia popular e solidária, q",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
386,pessoas,pessoas,"uário de 2006, foram identificados 129 estabelecimen- tos e 386 pessoas ocupadas na atividade agrícola no munícipio. Em atividades",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
134.383,pessoas,pessoas,"s- tenciais cadastradas, com atendimento de aproximadamente 134.383 pessoas de várias  faixas etárias. Essas entidades estão distribuíd",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
215.000,pessoas,pessoas,ntos às entidades as- sistenciais com cobertura de cerca de 215.000 pessoas.   3 — O PAPEL DO BANCO DE ALIMENTOS DA CIDADE DE SÃO PAULO,populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,São Paulo,,,,
343,famílias,%,"o, esses três Projetos de Venda bene- ficiaram diretamente  343 famílias  agricultoras, sendo 134 do estado de São Paulo,  caracteri",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,São Paulo,,,,
29,famílias,%,de 1% do repasse federal e beneficiando diretamente  apenas 29 famílias agricultoras.  Um  dos  motivadores  desse  avanço  foi  a,populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
",",famílias,%,"a de informações sobre  alimentação e receitas com os alunos, famílias e comunidade.  Posteriormente à premiação foi realizada uma",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
1.200,pessoas,pessoas,"os delegados eleitos regionalmente) participa- ram cerca de 1.200 pessoas, que discutiram as propostas saidas das sete etapas ma- cro",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
100.536,habitantes,pessoas,"14.  A populacéo em situacao rural na cidade em 2010 era de 100.536 habitantes. Se- gundo dados do Censo Demografico do IBGE, “(...) 45,6%",populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,,,,
139.441,habitantes,pessoas,Na regido sul da cidade a menor densidade demografica detém 139.441 habitantes (Subprefeitura de Parelhei- ros) e a maior possui 607.105 h,populacao,livro_panorama_seguranca_alimentar_nutricional_sp.txt,Brazil,,São Paulo,zona sul,,
