metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
",",PESSOAS,pessoas,"PECÍFICOS: POVOS INDÍGENAS, POVOS E COMUNIDADES TRADICIONAIS,  PESSOAS EM SITUAÇÃO DE RUA, IDOSOS, MULHERES E CRIANÇAS. ..........",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
79,famílias,%,"comunitárias. São cerca de 40 hortas, nas quais trabalham  79  famílias  que  tem  como  atividade  principal  a  produção  vegetal",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
200.000,pessoas,pessoas,o  349  entidades  cadastradas  que  beneficiam  cerca  de  200.000  pessoas  com  melhoria  na  qualidade  de  sua  alimentação.   20,populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
",",PESSOAS,pessoas,"LNERABILIDADE  DE  GRUPOS  ESPECÍFICOS:  POVOS  TRADICIONAIS, PESSOAS EM SITUAÇÃO DE RUA, IDOSOS, MULHERES E CRIANÇAS.   INDÍGENA",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
13.377,pessoas,pessoas,"tência  Social,   atualmente  atendem  um  contingente  de  13.377  pessoas,  além  dos  restaurantes  comunitários  que  ofertam   130",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
501.000,famílias,%,para travestis   e transexuais.   750  Beneficiá- rios   501.000  famílias por  mês   100 bolsas   -  incentivar  elevação de  escolar,populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
",",PESSOAS,pessoas,"PECIFICOS: POVOS INDIGENAS, POVOS E COMUNIDADES TRADICIONAIS,  PESSOAS EM SITUACAO DE RUA, IDOSOS, MULHERES E CRIANCAS. ..........",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
79,familias,familias,"s comunitarias. Sdo cerca de 40 hortas, nas quais trabalham 79 familias que tem como atividade principal a producao vegetal. Como d",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
200.000,pessoas,pessoas,total sao 349 entidades cadastradas que beneficiam cerca de 200.000 pessoas com melhoria na qualidade de sua alimentacao.  20   Em 2013,populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
",",PESSOAS,pessoas,"PECIFICOS: POVOS INDIGENAS, POVOS E COMUNIDADES TRADICIONAIS, PESSOAS EM SITUACAO DE RUA, IDOSOS, MULHERES E CRIANGAS.  As quest6",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
13.377,pessoas,pessoas,"de Assisténcia Social, atualmente atendem um contingente de 13.377 pessoas, além dos restaurantes comunitarios que ofertam 1300 refeic",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
7,familias,familias,"cesso a servico: aye ae . CRAS, CREAS Permanen- 00 Anns Pan 7 familias por familias em perfil para os Transferéncia basicos como 4",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
.,pessoas,pessoas,"obilizacdo dos -n°de Faculdades nente on - dos Cresan’s , ° . pessoas Escolas oficinas em equipamentos interessados; roan rire en",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
.,familias,familias,"Ensa0 Mura’ as diagnostico, por - Articular com capacitados . familias indigenas . 2 ° : SMPIR , Indigenas riorizando e aldeia, da",populacao,plamsanversaofinalcompleta.txt,Brazil,,,,,
