metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
.,pessoas,pessoas,"não  ne- gros têm as menores taxas de deso- cupação (5,3%).  pessoas desocupadas (x 1.000) IBGE, 2024  mulheres - 307  homens -",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
2024,pessoas,pessoas,"iferentes níveis de instrução.  taxa de informalidade PNAD, 2024  pessoas sem instrução e  menos de 1 ano de estudo  60%  21%  pessoa",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
10,pessoas,pessoas,"4% dos carros   18  19    MORADIA DIGNA E ADEQUADA  a cada 10 pessoas,  1 vive em favela na  cidade de são paulo  MORADIA DIGNA E",populacao,sampa-em-foco-atualizado-1.txt,Brazil,São Paulo,,,,
31.884,pessoas,pessoas,"e  2019,  e  31%  no  levantamento  de  2021,  totalizando 31.884 pessoas, sendo 12,6  mil em albergue e 19,2 mil na rua. Mo- vimento",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
317,famílias,%,"ões  entre 2017 e 2023 Observatório de  Remoções, 2023  até 317 famílias  de 318 a 1,1 mil famílias  de 1,1 mil a 3 mil famílias   d",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
50,famílias,%,"tais entre 2017 e 2023 Observatório de  Remoções, 2023  até 50 famílias  de 50 a 200 famílias  de 200 a 500 famílias   de 500 a 1,7",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
200,famílias,%,"3 Observatório de  Remoções, 2023  até 50 famílias  de 50 a 200 famílias  de 200 a 500 famílias   de 500 a 1,7 mil famílias  de 1,7",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
500,famílias,%,"ções, 2023  até 50 famílias  de 50 a 200 famílias  de 200 a 500 famílias   de 500 a 1,7 mil famílias  de 1,7 a 7 mil famílias  SITUA",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
4,pessoas,pessoas,"renda  de  até  3  salários  mínimos,  compostas  por  até  4  pessoas,  no  valor  de  R$  400 reais. Vale ressaltar que o valor",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
",",famílias,%,"elegíveis  para  serem  beneficiá- rias  do  auxílio-aluguel,  famílias  que  foram  removidas  de  suas  moradias  em  decorrência",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
24.054,famílias,%,"do de tempo.  Segundo informações do Portal Ha- bitaSampa,  24.054  famílias  são  be- neficiárias  de  auxílio-aluguel  (tem- porário",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
4.423,famílias,%,"pagamento  da  primeira  e  da  última   Vale ressaltar que 4.423 famílias, ou  18% do total, que recebem o auxílio  estão  concentrad",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
2.285,famílias,%,"a  favela  de  Pa- raisópolis.  Em  segundo  lugar,  com  2.285 famílias, está o distrito de São  Rafael, na zona leste, e em seguid",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,São Paulo,zona leste,,
588,famílias,%,"for-  mação, a SEHAB informou que no mês de junho ape-  nas 588 famílias recebiam auxílio-aluguel temporário.  32  RECOMENDAÇÕES  •",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
67.081,pessoas,pessoas,"tencial,  em  junho  de  2024,  havia  462  serviços,  com  67.081  pessoas  atendidas,  dessas,  63,46% pretas ou pardas. Quase 51  mi",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
.,Famílias,%,icas  é  mais  severo  em  áreas  de  maior  vulnerabilidade.  Famílias  de   14. Territórios classificados como favelas no mapa di,populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
10,pessoas,pessoas,"1h53.  Além  disso,  segundo  a  mesma  pesquisa, 3 em cada 10 pessoas já dei- xaram de visitar familiares/amigos, rea- lizar ativ",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
