metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
10.879.619,habitantes,pessoas,"o   a partir dos dados do Censo 2000 do IBGE.  Brasil, seus 10.879.619 habitantes2 equivalem a 6% da população total do país. É também a   ci",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
1.539.271,habitantes,pessoas,"Fundação Seade apontam, em dezembro de 2007, um total de   1.539.271 habitantes em favelas, 125.401 habitantes em núcleos urbanizados e 1.7",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
125.401,habitantes,pessoas,"bro de 2007, um total de   1.539.271 habitantes em favelas, 125.401 habitantes em núcleos urbanizados e 1.783.562   habitantes em loteamen",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
1.783.562,habitantes,pessoas,"tes em favelas, 125.401 habitantes em núcleos urbanizados e 1.783.562   habitantes em loteamentos irregulares, totalizando 3.448.234 habitante",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
3.448.234,habitantes,pessoas,"83.562   habitantes em loteamentos irregulares, totalizando 3.448.234 habitantes em assentamentos   precários no município de São Paulo. Con",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,São Paulo,São Paulo,,,
10.834.244,habitantes,pessoas,"etada   pela  mesma  Fundação  para  2007  como  sendo  de  10.834.244  habitantes,  os  moradores   em  assentamentos  precários  corresponde",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
645.057,habitantes,pessoas,nanciais das represas de Guarapiranga e   Billings totaliza 645.057 habitantes (equivalentes a 6% da população total do município).   Sist,populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
28.150,famílias,%,"e   regularização fundiária de 59 loteamentos, beneficiando 28.150 famílias. Com a implementação   dos instrumentos jurídicos contidos",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
23.000,famílias,%,"ão especial de uso em sua primeira etapa, acrescida de mais 23.000 famílias até o   final da segunda etapa do programa.   Além  da  reg",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
"3,2",pessoas,pessoas,"or ao encontrado entre todos os habitantes do município, de 3,2 pessoas por família,   segundo os dados da PNAD 2005 para a RMSP. S",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
23.000,famílias,%,"pal 14.665/08, que desafetou 108 áreas, abrangendo cerca de 23.000 famílias.   A  lei  traz  avanços  em  relação  à  anterior,  pois",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
12.119,famílias,%,"o programa já foi aplicado em 25 conjuntos, beneficiando 12.119 famílias.  No Resolo, há o programa de regularização de loteamentos",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
28.150,famílias,%,"to – Fundurb, que abrange   59 loteamentos e irá beneficiar 28.150 famílias, além de ações de assistência a comunidades   organizadas",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
10.879.619,habitantes,pessoas,"sta por 39 muni  pios. Cidade mais populosa do Brasil, seus 10.879.619 habitantes? equivalem a 6% da populagio total do pais. E também a cida",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
1.539.271,habitantes,pessoas,"da Fundacao Seade apontam, em dezembro de 2007, um total de 1.539.271 habitantes em favelas, 125.401 habitantes em nucleos urbanizados e 1.7",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
125.401,habitantes,pessoas,"embro de 2007, um total de 1.539.271 habitantes em favelas, 125.401 habitantes em nucleos urbanizados e 1.783.562 habitantes em loteamento",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
1.783.562,habitantes,pessoas,"tes em favelas, 125.401 habitantes em nucleos urbanizados e 1.783.562 habitantes em loteamentos irregulares, totalizando 3.448.234 habitante",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
3.448.234,habitantes,pessoas,".783.562 habitantes em loteamentos irregulares, totalizando 3.448.234 habitantes em assentamentos precarios no municipio de Sao Paulo. Consi",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
10.834.244,habitantes,pessoas,"ipio, projetada pela mesma Fundagao para 2007 como sendo de 10.834.244 habitantes, os moradores em assentamentos precarios correspondem a 31,",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
645.057,habitantes,pessoas,ananciais das represas de Guarapiranga e  Billings totaliza 645.057 habitantes (equivalentes a 6% da populacao total do municipio).  Siste,populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
50,familias,familias,"gularizacao fundiaria de 59 loteamentos, beneficiando 28. | 50 familias. Com aimplementacao dos instrumentos juridicos contidos no",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
23.000,familias,familias,"ao especial de uso em sua primeira etapa, acrescida de mais 23.000 familias até o  final da segunda etapa do programa.  Além da regular",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
"3,2",pessoas,pessoas,"or ao encontrado entre todos os habitantes do municipio, de 3,2 pessoas por familia,  segundo os dados da PNAD 2005 para a RMSP. Sa",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
23.000,familias,familias,"pal 14.665/08, que desafetou 108 areas, abrangendo cerca de 23.000 familias.  A lei traz avancos em relagao a anterior, pois considera",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
12.119,familias,familias,"o  © programa ja foi aplicado em 25 conjuntos, beneficiando 12.119 familias.  No Resolo, ha o programa de regularizagao de loteamentos",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
28.150,familias,familias,"ento — Fundurb, que abrange 59 loteamentos e ira beneficiar 28.150 familias, além de agdes de assisténcia a comunidades organizadas em",populacao,sao_paulo_habitacao-de-interesse-social_p.txt,Brazil,,,,,
